idx,rxn_smiles,dE0,dHrxn298
20,[H]C#[N+][N-][H].[H]OC#N>>[H]Oc1nc([H])nn1[H],7.308689999999999,-86.2112
22,[H]Oc1nc([H])nn1[H]>>[H]/N=C(\O[H])N1N=C1[H],85.91394,64.97955999999999
22,[H]/N=C(\O[H])N1N=C1[H]>>[H]Oc1nc([H])nn1[H],20.934380000000004,-64.97955999999999
23,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H]O[H],63.20476,8.96873
23,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H]O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],54.23603,-8.96873
24,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]OC([H])([H])C([H])=C([H])[H],107.75396,41.1194
24,[H]C([H])=C([H])[H].[H]OC([H])([H])C([H])=C([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],66.63456000000001,-41.1194
25,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])=C([H])[H].[H][H],88.47536,34.5595
25,[H]C(=O)C([H])([H])C([H])([H])C([H])=C([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],53.915859999999995,-34.5595
26,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]OC(=C([H])[H])C([H])([H])[H],106.66318,30.54774
26,[H]C([H])=C([H])[H].[H]OC(=C([H])[H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],76.11543999999999,-30.54774
27,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H].[H]O[H],96.254,38.33502
27,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H].[H]O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],57.918980000000005,-38.33502
28,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]O/C([H])=C(/[H])C([H])([H])[H],108.59933,35.45933
28,[H]C([H])=C([H])[H].[H]O/C([H])=C(/[H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],73.13999999999999,-35.45933
29,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]O[C@]1([H])C([H])=C([H])C([H])([H])C1([H])[H].[H][H],106.1555,27.69671
29,[H]O[C@]1([H])C([H])=C([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],78.45879000000001,-27.69671
30,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],116.28447,22.09724
30,[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],94.18723,-22.09724
31,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H][H],119.7306,24.6623
31,[H]OC1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],95.0683,-24.6623
32,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],79.0211,4.9259900000000005
32,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],74.09511,-4.9259900000000005
33,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][H],103.78744,37.898990000000005
33,[H]C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],65.88845,-37.898990000000005
34,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC1([H])C([H])([H])C([H])=C([H])C1([H])[H].[H][H],115.98983,27.34839
34,[H]OC1([H])C([H])([H])C([H])=C([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],88.64144,-27.34839
35,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H][C]C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],115.71548,93.92966
35,[H][C]C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],21.78582,-93.92966
36,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],119.42386,25.24129
36,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],94.18257,-25.24129
37,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][C]O[H],137.06258,94.54446
37,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][C]O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],42.518119999999996,-94.54446
38,[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC([H])([H])C([H])([H])C([H])([H])C([H])=C([H])[H],102.18914,17.67782
38,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])=C([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],84.51132,-17.67782
39,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]/N=C(/[H])OC([H])([H])[H].[H]C#N,107.32878999999998,27.66135
39,[H]/N=C(/[H])OC([H])([H])[H].[H]C#N>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],79.66743999999998,-27.66135
40,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]O[C-]=[N+]([H])/C([H])=N/C([H])([H])[H],72.22379000000001,35.16605
40,[H]O[C-]=[N+]([H])/C([H])=N/C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],37.05774000000001,-35.16605
41,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]C(=O)N([H])[C-]=[N+]([H])C([H])([H])[H],70.69436,24.29205
41,[H]C(=O)N([H])[C-]=[N+]([H])C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],46.40231,-24.29205
42,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]/N=C(\[H])O/C([H])=N\C([H])([H])[H],50.38201,18.26868
42,[H]/N=C(\[H])O/C([H])=N\C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],32.113330000000005,-18.26868
43,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[C-]#[O+].[H]/N=C(\[H])N([H])C([H])([H])[H],43.51054,10.03762
43,[C-]#[O+].[H]/N=C(\[H])N([H])C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],33.47292,-10.03762
44,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]C#N.[H]C(=O)N([H])C([H])([H])[H],98.04276,9.92967
44,[H]C#N.[H]C(=O)N([H])C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],88.11309,-9.92967
45,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]N1[C@]2([H])ON(C([H])([H])[H])[C@]12[H],116.69467,88.90586
45,[H]N1[C@]2([H])ON(C([H])([H])[H])[C@]12[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],27.788809999999998,-88.90586
46,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]C(=O)N([H])C([H])=[N+]([H])[C-]([H])[H],78.03220999999999,41.98368
46,[H]C(=O)N([H])C([H])=[N+]([H])[C-]([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],36.04852999999999,-41.98368
47,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]C(=O)N([H])C([H])([H])N=C([H])[H],80.22594000000001,10.83847
47,[H]C(=O)N([H])C([H])([H])N=C([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],69.38747000000001,-10.83847
48,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]C(=O)/N=C(\[H])N([H])C([H])([H])[H],44.29001,4.821219999999999
48,[H]C(=O)/N=C(\[H])N([H])C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],39.468790000000006,-4.821219999999999
49,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]O/C([H])=N/C([H])=N/C([H])([H])[H],45.244890000000005,13.2953
49,[H]O/C([H])=N/C([H])=N/C([H])([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],31.949590000000008,-13.2953
50,[H]C(=O)N([H])/C([H])=N/C([H])([H])[H]>>[H]O[C@@]1([H])N([H])[C@@]1([H])N=C([H])[H],86.12677,38.64314
50,[H]O[C@@]1([H])N([H])[C@@]1([H])N=C([H])[H]>>[H]C(=O)N([H])/C([H])=N/C([H])([H])[H],47.48362999999999,-38.64314
51,[H]C([H])([H])OC([H])([H])C([H])([H])C#N>>[H]C([H])=C=NC([H])([H])OC([H])([H])[H],75.54618,28.32436
51,[H]C([H])=C=NC([H])([H])OC([H])([H])[H]>>[H]C([H])([H])OC([H])([H])C([H])([H])C#N,47.22182000000001,-28.32436
52,[H]C([H])([H])OC([H])([H])C([H])([H])C#N>>[H]C([H])=C([H])C#N.[H]OC([H])([H])[H],58.85652,14.92414
52,[H]C([H])=C([H])C#N.[H]OC([H])([H])[H]>>[H]C([H])([H])OC([H])([H])C([H])([H])C#N,43.93238,-14.92414
53,[H]C([H])([H])OC([H])([H])C([H])([H])C#N>>[H]C([H])([H])OC([H])([H])C([H])([H])[N+]#[C-],59.73369,22.58292
53,[H]C([H])([H])OC([H])([H])C([H])([H])[N+]#[C-]>>[H]C([H])([H])OC([H])([H])C([H])([H])C#N,37.15077,-22.58292
54,[H]C([H])([H])OC([H])([H])C([H])([H])C#N>>[H]C([H])=C=NC([H])([H])[H].[H]C([H])=O,91.18199,36.43087
54,[H]C([H])=C=NC([H])([H])[H].[H]C([H])=O>>[H]C([H])([H])OC([H])([H])C([H])([H])C#N,54.75112,-36.43087
55,[H]C([H])([H])OC([H])([H])C([H])([H])C#N>>[H]C#N.[H]C([H])=C([H])OC([H])([H])[H],84.3233,24.59664
55,[H]C#N.[H]C([H])=C([H])OC([H])([H])[H]>>[H]C([H])([H])OC([H])([H])C([H])([H])C#N,59.72666,-24.59664
56,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H]C([H])([H])O[C@]1([H])OC1([H])[H],66.42035,15.84489
56,[H]C([H])([H])O[C@]1([H])OC1([H])[H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],50.57546,-15.84489
57,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H]C([H])=[O+]C([H])=C([H])[O-].[H][H],74.59470999999999,68.63977
57,[H]C([H])=[O+]C([H])=C([H])[O-].[H][H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],5.9549399999999935,-68.63977
58,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H][C-]=[O+]C([H])([H])OC([H])([H])[H],100.69992,57.86365
58,[H][C-]=[O+]C([H])([H])OC([H])([H])[H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],42.836270000000006,-57.86365
59,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H]C([H])=C([H])OOC([H])([H])[H],87.96627,59.62014
59,[H]C([H])=C([H])OOC([H])([H])[H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],28.346129999999995,-59.62014
60,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H]C([H])=O.[H]OC([H])=C([H])[H],56.80752,11.83209
60,[H]C([H])=O.[H]OC([H])=C([H])[H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],44.975429999999996,-11.83209
61,[H]C(=O)C([H])([H])OC([H])([H])[H]>>[H]OC([H])([H])[C@]([H])([O-])[C+]([H])[H],86.59683000000001,76.39789
61,[H]OC([H])([H])[C@]([H])([O-])[C+]([H])[H]>>[H]C(=O)C([H])([H])OC([H])([H])[H],10.198940000000007,-76.39789
62,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[N+]#[C-],59.30894,22.08586
62,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[N+]#[C-]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,37.223079999999996,-22.08586
63,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C([H])=C([H])C([H])([H])[H].[H]C1=NC1([H])[H],99.96469,68.94094
63,[H]C([H])=C([H])C([H])([H])[H].[H]C1=NC1([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,31.023750000000007,-68.94094
64,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C([H])([H])C([H])([H])C1=N[C@]1([H])C([H])([H])[H],148.02635,38.21026
64,[H]C([H])([H])C([H])([H])C1=N[C@]1([H])C([H])([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,109.81609,-38.21026
65,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C([H])=C=NC([H])([H])C([H])([H])C([H])([H])[H],99.14967,32.47638
65,[H]C([H])=C=NC([H])([H])C([H])([H])C([H])([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,66.67329000000001,-32.47638
66,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]N=C=C([H])C([H])(C([H])([H])[H])C([H])([H])[H],91.99066,26.35758
66,[H]N=C=C([H])C([H])(C([H])([H])[H])C([H])([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,65.63308,-26.35758
67,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C([H])=C([H])C([H])([H])[H].[H]N=C=C([H])[H],68.38353000000001,48.12894
67,[H]C([H])=C([H])C([H])([H])[H].[H]N=C=C([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,20.254590000000007,-48.12894
68,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]/N=C1/C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],101.62226,22.56812
68,[H]/N=C1/C([H])([H])C([H])(C([H])([H])[H])C1([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,79.05413999999999,-22.56812
69,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]N1[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],91.6563,41.91194
69,[H]N1[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,49.74436,-41.91194
70,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N>>[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H].[H][H],100.00654,24.83513
70,[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H].[H][H]>>[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,75.17141000000001,-24.83513
71,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H][C-]=[O+]C([H])([H])C([H])([H])C([H])([H])[H],113.08191,64.37595999999999
71,[H][C-]=[O+]C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],48.70595,-64.37595999999999
72,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C([H])=C([H])C([H])([H])[H].[H]C([H])=O,75.45451,28.39025
72,[H]C([H])=C([H])C([H])([H])[H].[H]C([H])=O>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],47.06426,-28.39025
73,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C([H])=C([H])[H].[H]OC([H])=C([H])[H],58.89712,32.840959999999995
73,[H]C([H])=C([H])[H].[H]OC([H])=C([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],26.056160000000006,-32.840959999999995
74,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C(=O)C([H])=C([H])[H].[H]C([H])([H])[H],95.23448,18.67916
74,[H]C(=O)C([H])=C([H])[H].[H]C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],76.55532000000001,-18.67916
75,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[C-]#[O+].[H]C([H])([H])C([H])([H])C([H])([H])[H],83.59612,-1.54731
75,[C-]#[O+].[H]C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],85.14343,1.54731
76,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]C([H])=C([H])OC([H])([H])C([H])([H])[H],89.5795,17.802629999999997
76,[H]C([H])=C([H])OC([H])([H])C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],71.77687,-17.802629999999997
77,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]O/C([H])=C(/[H])C([H])([H])C([H])([H])[H],71.02608000000001,9.28409
77,[H]O/C([H])=C(/[H])C([H])([H])C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],61.74199000000001,-9.28409
78,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]>>[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],79.21441999999999,19.84288
78,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],59.37153999999999,-19.84288
79,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]C1=NC([H])([H])C(N([H])[H])=N1,44.07153,4.29724
79,[H]C1=NC([H])([H])C(N([H])[H])=N1>>[H]c1nc(N([H])[H])c([H])n1[H],39.77429,-4.29724
80,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]/N=C(\[H])[C@]1([H])N=C1N([H])[H],103.42911,44.78111
80,[H]/N=C(\[H])[C@]1([H])N=C1N([H])[H]>>[H]c1nc(N([H])[H])c([H])n1[H],58.647999999999996,-44.78111
81,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]/N=C1\N=C([H])N([H])C1([H])[H],74.2526,9.1189
81,[H]/N=C1\N=C([H])N([H])C1([H])[H]>>[H]c1nc(N([H])[H])c([H])n1[H],65.1337,-9.1189
82,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]/N=C(\[H])[C@@]1(N([H])[H])N=C1[H],98.794,54.40428000000001
82,[H]/N=C(\[H])[C@@]1(N([H])[H])N=C1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],44.38971999999999,-54.40428000000001
83,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]/N=C(\[H])[C]N([H])[H].[H]C#N,84.32625,70.96569000000001
83,[H]/N=C(\[H])[C]N([H])[H].[H]C#N>>[H]c1nc(N([H])[H])c([H])n1[H],13.360559999999992,-70.96569000000001
84,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]C1=C(N([H])[H])N([H])[C]N1[H],68.62703,29.01815
84,[H]C1=C(N([H])[H])N([H])[C]N1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],39.608880000000006,-29.01815
85,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]c1nc([N+]([H])([H])[H])[c-]n1[H],74.94034,60.91066
85,[H]c1nc([N+]([H])([H])[H])[c-]n1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],14.029680000000006,-60.91066
86,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]N=C1N=C([H])[N+]([H])([H])[C-]1[H],116.19069,71.32188000000001
86,[H]N=C1N=C([H])[N+]([H])([H])[C-]1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],44.868809999999996,-71.32188000000001
87,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]C1=NC([H])([H])N=C1N([H])[H],42.75096,7.22228
87,[H]C1=NC([H])([H])N=C1N([H])[H]>>[H]c1nc(N([H])[H])c([H])n1[H],35.52868,-7.22228
88,[H]c1nc(N([H])[H])c([H])n1[H]>>[H][N-]c1c([H])[n+]([H])c([H])n1[H],60.51886,31.269340000000003
88,[H][N-]c1c([H])[n+]([H])c([H])n1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],29.249519999999993,-31.269340000000003
89,[H]c1nc(N([H])[H])c([H])n1[H]>>[H][C-]=[N+]([H])[C-]([H])[N+]#CN([H])[H],98.11207,96.08125
89,[H][C-]=[N+]([H])[C-]([H])[N+]#CN([H])[H]>>[H]c1nc(N([H])[H])c([H])n1[H],2.0308200000000056,-96.08125
90,[H]c1nc(N([H])[H])c([H])n1[H]>>[H]C1=N[C@]([H])(N([H])[H])[C-]=[N+]1[H],61.58283,52.79216
90,[H]C1=N[C@]([H])(N([H])[H])[C-]=[N+]1[H]>>[H]c1nc(N([H])[H])c([H])n1[H],8.790669999999999,-52.79216
